bucket of bog water,-1,-1,-1,-1,-1,-1,0,-0.0,0,1673388703.447497
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673390990.9594536
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673391782.1388457
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673451667.041285
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673548908.0921953
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673566176.4939718
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673566304.014692
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673566546.9214041
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673625159.119405
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673673116.2115602
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673716280.9957445
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673733070.6593387
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673764771.7211018
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673845717.0078194
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673888894.2005246
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673932091.2484627
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1673975269.0169094
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674018511.3332267
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674056288.8241918
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674148078.4167886
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674191280.1662586
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674229594.1227548
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674321024.4365258
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674364086.316824
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674407310.6754985
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674450478.0354168
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674493671.2103162
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674536910.0732224
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674580089.1976845
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,1674623276.5117164
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674673961.8058512
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674709855.7200253
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674753004.8992581
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674796236.9121287
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674839419.847693
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674882645.0317879
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674925847.0808728
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1674969002.9942744
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675012240.455001
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675055421.1467288
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675098643.121056
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675143512.8765361
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675185010.575445
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675271490.9203722
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675314643.601043
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675357823.8736396
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675401045.0571985
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675445047.2040267
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675487445.4010324
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675530618.0465436
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675573843.6921675
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675617010.2429047
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675660228.2024972
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675703403.5913327
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675746616.5130455
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675789832.804856
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675833048.3243487
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675848383.6549628
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1,1675876244.3652518
