ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673390998.9536426
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673395552.0896106
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673455456.3934407
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673552649.1911938
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673566177.6039286
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673566304.471623
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673566548.6562243
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673628888.1966987
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673678679.2189844
ring of souls (depleted),-1,-1,-1,-1,-1,-1,0,0,0,1673719895.8561165
