crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673390998.516714
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673392241.0659091
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673452126.7484875
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673549349.0558112
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673566176.6347818
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673566304.0742283
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673566546.9752464
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673625599.1436906
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673673553.8799317
crystal pedestal (red),-1,-1,-1,-1,-1,-1,0,0,0,1673716709.3921142
