resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673390998.9461737
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673395515.2384748
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673455419.5874584
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673552611.2695587
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673566177.593117
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673566304.468629
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673566548.652585
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673628850.3543298
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673678642.5964353
resonance crystal (recorded),-1,-1,-1,-1,-1,-1,0,0,0,1673719858.9928637
