buyOffer,5811000,2023-01-18 19:10:20.693712
buyOffer,5811005,2023-01-18 19:40:55.511902
buyOffer,5811006,2023-01-18 20:44:32.357660
sellOffer,7499999,2023-01-18 22:37:24.607437
sellOffer,7000000,2023-01-18 23:19:43.541247
buyOffer,5812000,2023-01-19 02:32:19.495849
buyOffer,5813000,2023-01-19 03:14:36.121670
buyOffer,5815000,2023-01-19 04:48:37.414089
buyOffer,5814000,2023-01-19 11:06:07.487491
sellOffer,6995000,2023-01-19 11:06:07.487538
sellOffer,6994999,2023-01-19 11:17:52.715703
sold,7000000,2023-01-19 17:37:19.601121
sold,8450000,2023-01-19 17:39:41.487347
buyOffer,5816002,2023-01-19 17:49:06.665344
buyOffer,5828005,2023-01-20 19:35:31.690156
buyOffer,5828006,2023-01-20 20:27:16.789697
buyOffer,5828007,2023-01-20 20:48:24.926424
buyOffer,5829000,2023-01-20 21:02:31.313577
buyOffer,5831000,2023-01-20 21:16:37.224571
buyOffer,5831001,2023-01-20 21:18:58.720211
sold,7499999,2023-01-20 22:29:30.118415
buyOffer,5831002,2023-01-20 23:40:03.547144
buyOffer,5831003,2023-01-20 23:47:06.163785
buyOffer,5832000,2023-01-21 00:31:43.809667
buyOffer,5832001,2023-01-21 00:43:28.617426
buyOffer,5832002,2023-01-21 01:32:48.889497
buyOffer,5833000,2023-01-21 01:35:09.820174
buyOffer,5833001,2023-01-21 01:44:33.459025
buyOffer,5836000,2023-01-21 04:50:07.860375
buyOffer,5837000,2023-01-21 05:41:46.537724
buyOffer,5837001,2023-01-21 06:14:39.607884
buyOffer,5839000,2023-01-21 09:22:33.462422
sellOffer,7399999,2023-01-21 10:29:49.237092
buyOffer,5839001,2023-01-21 10:57:59.743840
sellOffer,7399992,2023-01-21 11:00:20.652075
sellOffer,7200000,2023-01-21 11:07:23.151569
buyOffer,5840000,2023-01-21 15:13:13.188939
buyOffer,6000000,2023-01-21 15:29:39.500443
sellOffer,7100000,2023-01-21 16:19:02.320973
buyOffer,6000001,2023-01-21 16:21:23.853309
