bought,88156000,2023-01-18 20:32:42.704135
sellOffer,92999999,2023-01-18 20:44:35.016610
sellOffer,92500000,2023-01-18 21:05:43.180964
sellOffer,92490000,2023-01-18 21:22:10.856558
buyOffer,92000000,2023-01-18 23:07:59.712842
sold,95000000,2023-01-19 03:05:15.351560
bought,88161000,2023-01-19 03:14:38.822462
sold,98000000,2023-01-19 03:14:38.822489
sellOffer,97777777,2023-01-19 03:45:12.188237
buyOffer,97000000,2023-01-20 19:37:56.008960
bought,90102000,2023-01-20 20:08:31.248539
buyOffer,91000000,2023-01-20 21:51:55.190424
buyOffer,91002000,2023-01-21 00:29:25.649642
sellOffer,95000000,2023-01-21 04:40:47.195408
bought,91000000,2023-01-21 06:28:47.503860
sold,101999000,2023-01-21 06:28:47.503891
buyOffer,91002000,2023-01-21 06:47:37.962517
sellOffer,101998000,2023-01-21 06:47:37.962557
bought,91000000,2023-01-21 12:39:00.393748
