buyOffer,2506000,2023-01-18 18:44:29.224424
bought,2505000,2023-01-18 19:00:54.721934
buyOffer,2505010,2023-01-18 19:47:57.956786
bought,2505000,2023-01-18 20:09:07.716094
buyOffer,2505001,2023-01-18 20:34:59.628250
sellOffer,2732999,2023-01-18 20:34:59.628275
buyOffer,2550000,2023-01-18 22:09:08.877967
sellOffer,2732900,2023-01-18 22:27:57.453350
bought,2505001,2023-01-19 00:46:38.419195
sellOffer,2731000,2023-01-19 01:59:25.414950
buyOffer,2506000,2023-01-19 02:34:39.089969
buyOffer,2507000,2023-01-19 03:19:16.724378
sellOffer,2729000,2023-01-19 03:19:16.724405
buyOffer,2508000,2023-01-19 04:48:36.101586
sellOffer,2728000,2023-01-19 04:48:36.101614
bought,2507000,2023-01-19 06:50:44.369440
bought,2013001,2023-01-19 07:14:12.611899
buyOffer,2507000,2023-01-19 07:16:33.492696
bought,2013001,2023-01-19 07:32:59.515776
sellOffer,2013001,2023-01-19 07:32:59.515806
buyOffer,2507000,2023-01-19 07:35:20.350312
sold,2728000,2023-01-19 07:35:20.350338
sold,2731000,2023-01-19 10:44:56.484287
bought,2013001,2023-01-19 10:47:17.567004
buyOffer,2507000,2023-01-19 10:49:38.664629
buyOffer,2508000,2023-01-19 11:06:06.143984
sellOffer,2728000,2023-01-19 11:06:06.144017
bought,2507000,2023-01-19 11:27:35.151967
buyOffer,2402004,2023-01-20 18:13:16.151876
bought,2402000,2023-01-20 18:41:26.692642
sold,2708999,2023-01-20 18:43:47.593803
bought,2013001,2023-01-20 19:16:40.761992
buyOffer,2402000,2023-01-20 19:19:01.664784
buyOffer,2402001,2023-01-20 20:17:50.897581
sellOffer,2700000,2023-01-20 20:27:15.470432
sold,2708999,2023-01-20 20:48:23.621920
buyOffer,2405000,2023-01-20 21:00:09.196907
sellOffer,2705000,2023-01-20 21:00:09.196957
sold,2708999,2023-01-20 21:16:35.922010
sold,2709000,2023-01-20 21:21:18.269034
sellOffer,2708900,2023-01-20 21:49:30.274619
buyOffer,2405001,2023-01-20 22:57:42.293782
sold,2709000,2023-01-20 23:07:05.819063
sold,2711993,2023-01-20 23:23:33.906399
buyOffer,2405002,2023-01-20 23:32:58.316492
sellOffer,2711992,2023-01-20 23:32:58.316525
buyOffer,2405003,2023-01-20 23:47:04.863924
buyOffer,2405100,2023-01-21 00:08:12.797835
sellOffer,2711990,2023-01-21 00:08:12.797865
sold,2711992,2023-01-21 00:12:55.141875
buyOffer,2405101,2023-01-21 01:23:23.952954
sellOffer,2711991,2023-01-21 01:23:23.952984
buyOffer,2410000,2023-01-21 01:32:47.569783
buyOffer,2411000,2023-01-21 04:52:27.336076
sellOffer,2711000,2023-01-21 04:52:27.336106
buyOffer,2411003,2023-01-21 06:02:53.268754
bought,2013001,2023-01-21 07:53:18.554001
buyOffer,2411003,2023-01-21 07:55:39.210492
bought,2411000,2023-01-21 08:37:54.906154
buyOffer,2411001,2023-01-21 09:29:35.468092
buyOffer,2411002,2023-01-21 10:34:29.529699
sellOffer,2710999,2023-01-21 10:34:29.529727
sellOffer,2710997,2023-01-21 11:28:29.656952
sold,2710999,2023-01-21 11:47:16.840040
sold,2711000,2023-01-21 12:01:21.825589
sellOffer,2710999,2023-01-21 12:08:25.106364
bought,2411001,2023-01-21 12:41:18.103058
buyOffer,2411002,2023-01-21 12:43:39.019262
buyOffer,2411007,2023-01-21 13:53:17.211284
sellOffer,2709000,2023-01-21 14:42:36.103309
bought,2411002,2023-01-21 14:56:44.713923
buyOffer,2412000,2023-01-21 15:13:11.867782
buyOffer,2413001,2023-01-21 15:53:08.793782
sellOffer,2708999,2023-01-21 15:53:08.793807
sellOffer,2708990,2023-01-21 16:16:40.193858
buyOffer,2418000,2023-01-21 16:28:25.011497
